pure_text,orginial_text,len,label
When this happens you kidnap the bot and reprogram it,"['when', 'this', 'happens', 'you', 'kidnap', 'the', 'bot', 'and', 'reprogram', 'it']",10,0
I respect it ill fight any cocky mf who think they could rob the robot,"['i', 'respect', 'it', 'ill', 'fight', 'any', 'cocky', 'mf', 'who', 'think', 'they', 'could', 'rob', 'the', 'robot']",15,1
Makes you wonder how long it was waiting  .  ,"['makes', 'you', 'wonder', 'how', 'long', 'it', 'was', 'waiting']",8,2
So cute!!!,"['so', 'cute']",2,1
could you steal food from them ?,"['could', 'you', 'steal', 'food', 'from', 'them']",6,0
they can’t do that and wouldn’t be allowed  .  ,"['they', 'can', 't', 'do', 'that', 'and', 'wouldn', 't', 'be', 'allowed']",10,0
I this for this to work they need to make this unmanned vehicle rather than fully automatic so that the delivery guy can operate it from home and get paid too  .  this harmonic relationship will benefit both unemployment and ease of work,"['i', 'this', 'for', 'this', 'to', 'work', 'they', 'need', 'to', 'make', 'this', 'unmanned', 'vehicle', 'rather', 'than', 'fully', 'automatic', 'so', 'that', 'the', 'delivery', 'guy', 'can', 'operate', 'it', 'from', 'home', 'and', 'get', 'paid', 'too', 'this', 'harmonic', 'relationship', 'will', 'benefit', 'both', 'unemployment', 'and', 'ease', 'of', 'work']",42,1
"Usually if those things get stuck for a while, whoever is monitoring it will take control and fix it  .   That said, i have come across one of these flipped over in the middle of the sidewalk, calling out for help  .   Weirdest shit that day","['usually', 'if', 'those', 'things', 'get', 'stuck', 'for', 'a', 'while', 'whoever', 'is', 'monitoring', 'it', 'will', 'take', 'control', 'and', 'fix', 'it', 'that', 'said', 'i', 'have', 'come', 'across', 'one', 'of', 'these', 'flipped', 'over', 'in', 'the', 'middle', 'of', 'the', 'sidewalk', 'calling', 'out', 'for', 'help', 'weirdest', 'shit', 'that', 'day']",44,1
nice,['nice'],1,1
Gee I buy more than two bags of food  .   So it better for me to do myself to the exercise from the store  .   I mean a car can beat up that little robot driving down the street  .   It might need auto insurance too  .  ,"['gee', 'i', 'buy', 'more', 'than', 'two', 'bags', 'of', 'food', 'so', 'it', 'better', 'for', 'me', 'to', 'do', 'myself', 'to', 'the', 'exercise', 'from', 'the', 'store', 'i', 'mean', 'a', 'car', 'can', 'beat', 'up', 'that', 'little', 'robot', 'driving', 'down', 'the', 'street', 'it', 'might', 'need', 'auto', 'insurance', 'too']",43,0
That one just like fall down the stairs bro,"['that', 'one', 'just', 'like', 'fall', 'down', 'the', 'stairs', 'bro']",9,0
"What a joke, what happens when a teenager decides to boot it over and steal the contents?","['what', 'a', 'joke', 'what', 'happens', 'when', 'a', 'teenager', 'decides', 'to', 'boot', 'it', 'over', 'and', 'steal', 'the', 'contents']",17,0
This another way to take away peoples jobs sad,"['this', 'another', 'way', 'to', 'take', 'away', 'peoples', 'jobs', 'sad']",9,0
In Saskatchewan they would use these things as seat cushions and a portable toilet  .  ,"['in', 'saskatchewan', 'they', 'would', 'use', 'these', 'things', 'as', 'seat', 'cushions', 'and', 'a', 'portable', 'toilet']",14,0
"I think they are only in Milton Keynes? I know they started there, and as far as I know, they haven't been set up in other areas yet  .  ","['i', 'think', 'they', 'are', 'only', 'in', 'milton', 'keynes', 'i', 'know', 'they', 'started', 'there', 'and', 'as', 'far', 'as', 'i', 'know', 'they', 'have', 'not', 'been', 'set', 'up', 'in', 'other', 'areas', 'yet']",29,2
"Human: Hey! Robot: Yeah whatever, take your food Also they are so cute","['human', 'hey', 'robot', 'yeah', 'whatever', 'take', 'your', 'food', 'also', 'they', 'are', 'so', 'cute']",13,1
Robots Future prediction - Robots VS Humanity  .   Any future predictions?,"['robots', 'future', 'prediction', 'robots', 'vs', 'humanity', 'any', 'future', 'predictions']",9,2
As soon as I saw that I wanted to punt it   .  ,"['as', 'soon', 'as', 'i', 'saw', 'that', 'i', 'wanted', 'to', 'punt', 'it']",11,0
"I guess that, like OnStar, it can be opened remotely by the sender  .  ","['i', 'guess', 'that', 'like', 'onstar', 'it', 'can', 'be', 'opened', 'remotely', 'by', 'the', 'sender']",13,1
This is scary,"['this', 'is', 'scary']",3,0
slave jobs  .   Anybody who can put together a sentence shouldn't consider working with them  .   Invest your time in a blue collar trade or technology  .  ,"['slave', 'jobs', 'anybody', 'who', 'can', 'put', 'together', 'a', 'sentence', 'should', 'not', 'consider', 'working', 'with', 'them', 'invest', 'your', 'time', 'in', 'a', 'blue', 'collar', 'trade', 'or', 'technology']",25,0
like that will stop thief's,"['like', 'that', 'will', 'stop', 'thief', ""'s""]",6,2
I can see uses for these  .   ,"['i', 'can', 'see', 'uses', 'for', 'these']",6,1
"what a piece of shit, ruining some ones food or drink!!!","['what', 'a', 'piece', 'of', 'shit', 'ruining', 'some', 'ones', 'food', 'or', 'drink']",11,1
One of them got stuck and 2as saved,"['one', 'of', 'them', 'got', 'stuck', 'and', 'saved']",7,0
Good  .   Run the wee job stealing bastard over  .  ,"['good', 'run', 'the', 'wee', 'job', 'stealing', 'bastard', 'over']",8,0
Hah  .   Probably the robot will stalk us  .  ,"['hah', 'probably', 'the', 'robot', 'will', 'stalk', 'us']",7,0
So no spit food?,"['so', 'no', 'spit', 'food']",4,2
Los Angeles has coco which is a beautiful bright color robots!,"['los', 'angeles', 'has', 'coco', 'which', 'is', 'a', 'beautiful', 'bright', 'color', 'robots']",11,1
which the cart bots or drones? Oh never mind your traditional  .  ,"['which', 'the', 'cart', 'bots', 'or', 'drones', 'oh', 'never', 'mind', 'your', 'traditional']",11,2
This is delightful! We are from the UK and we know Castro Street very well!,"['this', 'is', 'delightful', 'we', 'are', 'from', 'the', 'uk', 'and', 'we', 'know', 'castro', 'street', 'very', 'well']",15,1
"They have cameras, you would be eating jail food soon  .  ","['they', 'have', 'cameras', 'you', 'would', 'be', 'eating', 'jail', 'food', 'soon']",10,1
There goes my Uber eats gig  .  ,"['there', 'goes', 'my', 'uber', 'eats', 'gig']",6,0
If that thing shows up here in Sweden I would gladly let Russia nuke us!,"['if', 'that', 'thing', 'shows', 'up', 'here', 'in', 'sweden', 'i', 'would', 'gladly', 'let', 'russia', 'nuke', 'us']",15,0
That is hilarious !!,"['that', 'is', 'hilarious']",3,1
"So when these robots take the jobs from the black people that are grudgingly delivering cold greasy food to woke white people, I guarantee the temperature in the room is gonna go up  .   Next thing you know, out come the hammers and crowbars ( smash & grabs), ghost guns, ( follow home invasions) and stimulus scams  .   It’s already rampant in Los Angeles  .   To tell you the truth, I can’t blame them  .   Enjoy your robots for now you bug people  .  ","['so', 'when', 'these', 'robots', 'take', 'the', 'jobs', 'from', 'the', 'black', 'people', 'that', 'are', 'grudgingly', 'delivering', 'cold', 'greasy', 'food', 'to', 'woke', 'white', 'people', 'i', 'guarantee', 'the', 'temperature', 'in', 'the', 'room', 'is', 'going', 'to', 'go', 'up', 'next', 'thing', 'you', 'know', 'out', 'come', 'the', 'hammers', 'and', 'crowbars', 'smash', 'grabs', 'ghost', 'guns', 'follow', 'home', 'invasions', 'and', 'stimulus', 'scams', 'it', 's', 'already', 'rampant', 'in', 'los', 'angeles', 'to', 'tell', 'you', 'the', 'truth', 'i', 'can', 't', 'blame', 'them', 'enjoy', 'your', 'robots', 'for', 'now', 'you', 'bug', 'people']",79,0
Mountain View has had them for a couple of years  .  ,"['mountain', 'view', 'has', 'had', 'them', 'for', 'a', 'couple', 'of', 'years']",10,2
How adorable  .   They should have they individual name,"['how', 'adorable', 'they', 'should', 'have', 'they', 'individual', 'name']",8,1
Indeed! That is so awesome,"['indeed', 'that', 'is', 'so', 'awesome']",5,1
World's massively overpopulated and growing  .   Greedy corporations bringing robots to take people rolls/take our jobs  .   Humans beginning to feel the strain of this though cover stories  .   Soon to feel the noose tighten more around our necks this winter  .   Yes help this robot take a persons job  .   Help it  .   It needs to work to feed it's master's greed  .   Fuck humanity,"['world', ""'s"", 'massively', 'overpopulated', 'and', 'growing', 'greedy', 'corporations', 'bringing', 'robots', 'to', 'take', 'human', 'rolls/take', 'our', 'jobs', 'humans', 'beginning', 'to', 'feel', 'the', 'strain', 'of', 'this', 'though', 'cover', 'stories', 'soon', 'to', 'feel', 'the', 'noose', 'tighten', 'more', 'around', 'our', 'necks', 'this', 'winter', 'yes', 'help', 'this', 'robot', 'take', 'a', 'persons', 'job', 'help', 'it', 'it', 'needs', 'to', 'work', 'to', 'feed', 'it', 'is', 'master', ""'s"", 'greed', 'fuck', 'humanity']",62,0
This thing is cool but man I hope this thing doesn't screw over delivery drivers  .   Think about all the jobs that could be taken by things like this,"['this', 'thing', 'is', 'cool', 'but', 'man', 'i', 'hope', 'this', 'thing', 'does', 'not', 'screw', 'over', 'delivery', 'drivers', 'think', 'about', 'all', 'the', 'jobs', 'that', 'could', 'be', 'taken', 'by', 'things', 'like', 'this']",29,0
Loved the robot — incredibly cute and efficient  .  ,"['loved', 'the', 'robot', '—', 'incredibly', 'cute', 'and', 'efficient']",8,1
"Stuff them, they are stealing our jobs","['stuff', 'them', 'they', 'are', 'stealing', 'our', 'jobs']",7,0
we are in the same area saw 2 today in Timperley,"['we', 'are', 'in', 'the', 'same', 'area', 'saw', 'today', 'in', 'timperley']",10,2
I am pretty sure that thing wouldn't make it 500 feet out of the store here before someone snatched it and busted it up  .  ,"['i', 'am', 'pretty', 'sure', 'that', 'thing', 'would', 'not', 'make', 'it', 'feet', 'out', 'of', 'the', 'store', 'here', 'before', 'someone', 'snatched', 'it', 'and', 'busted', 'it', 'up']",24,0
The One Time I felt same way although they might change it by how it is too  heavy and how it would fall flat on its ass,"['the', 'one', 'time', 'i', 'felt', 'same', 'way', 'although', 'they', 'might', 'change', 'it', 'by', 'how', 'it', 'is', 'too', 'heavy', 'and', 'how', 'it', 'would', 'fall', 'flat', 'on', 'its', 'ass']",27,0
Robot  .   DELIVERY ON ANY college campuses would be a great thing in any college that apply for it in any State as long as it is on  the campus here on the campus chef's cooking there  .  ,"['robot', 'delivery', 'on', 'any', 'college', 'campuses', 'would', 'be', 'a', 'great', 'thing', 'in', 'any', 'college', 'that', 'apply', 'for', 'it', 'in', 'any', 'state', 'as', 'long', 'as', 'it', 'is', 'on', 'the', 'campus', 'here', 'on', 'the', 'campus', 'chef', ""'s"", 'cooking', 'there']",37,1
Let's hope they learn quickly that these robots are equipped with safety features  .  ,"['let', ""'s"", 'hope', 'they', 'learn', 'quickly', 'that', 'these', 'robots', 'are', 'equipped', 'with', 'safety', 'features']",14,2
Stop occupying our sidewalks A-hole  .   If I find one I am gonna tip it sideways  .  ,"['stop', 'occupying', 'our', 'sidewalks', 'a-hole', 'if', 'i', 'find', 'one', 'i', 'am', 'going', 'to', 'tip', 'it', 'sideways']",16,0
"Bring them to Sheffield and they’ll end up in the same place as the electric bikes, rivers, trees, hedges, bins  .  ","['bring', 'them', 'to', 'sheffield', 'and', 'they', 'll', 'end', 'up', 'in', 'the', 'same', 'place', 'as', 'the', 'electric', 'bikes', 'rivers', 'trees', 'hedges', 'bins']",21,0
And Milton Keynes  .  ,"['and', 'milton', 'keynes']",3,2
"I am sad that this will replace Humans  .   Robots are being deployed daily in various ways all in effort to make things more efficient, but at the same time replacing humans  .   The fewer employed Humans there are the fewer consumers you have  .   If I am not employed I am not buying your products  .   Simple let’s not allow Robots to take over  .  ","['i', 'am', 'sad', 'that', 'this', 'will', 'replace', 'humans', 'robots', 'are', 'being', 'deployed', 'daily', 'in', 'various', 'ways', 'all', 'in', 'effort', 'to', 'make', 'things', 'more', 'efficient', 'but', 'at', 'the', 'same', 'time', 'replacing', 'humans', 'the', 'fewer', 'employed', 'humans', 'there', 'are', 'the', 'fewer', 'consumers', 'you', 'have', 'if', 'i', 'am', 'not', 'employed', 'i', 'am', 'not', 'buying', 'your', 'products', 'simple', 'let', 's', 'not', 'allow', 'robots', 'to', 'take', 'over']",62,0
Amazing,['amazing'],1,1
Wait until someone engages in an intercourse with them,"['wait', 'until', 'someone', 'engages', 'in', 'an', 'intercourse', 'with', 'them']",9,0
If you are broke and hungry steal the robot  .  ,"['if', 'you', 'are', 'broke', 'and', 'hungry', 'steal', 'the', 'robot']",9,0
Turn it into a real soup kitchen for dirty Mike and the boys,"['turn', 'it', 'into', 'a', 'real', 'soup', 'kitchen', 'for', 'dirty', 'mike', 'and', 'the', 'boys']",13,0
Lazy? So your saying students who staying up all night studying and doing homework is being lazy?,"['lazy', 'so', 'your', 'saying', 'students', 'who', 'staying', 'up', 'all', 'night', 'studying', 'and', 'doing', 'homework', 'is', 'being', 'lazy']",17,1
"""That's got to be the easiest way to like bomb people  .  "" Officers, I found your future suspect  .   Your welcome  .   Americans","['that', ""'s"", 'got', 'to', 'be', 'the', 'easiest', 'way', 'to', 'like', 'bomb', 'people', 'officers', 'i', 'found', 'your', 'future', 'suspect', 'your', 'welcome', 'americans']",21,0
"These robots need cameras all around  .   I commute by bike and even if I am very careful with passing them, some situations are unavoidably quite dangerous  .  ","['these', 'robots', 'need', 'cameras', 'all', 'around', 'i', 'commute', 'by', 'bike', 'and', 'even', 'if', 'i', 'am', 'very', 'careful', 'with', 'passing', 'them', 'some', 'situations', 'are', 'unavoidably', 'quite', 'dangerous']",26,0
"No, robots do not belong on the sidewalks  .   First cars pushed people out of roads, now robots are trying to takeover sidewalks  .  ","['no', 'robots', 'do', 'not', 'belong', 'on', 'the', 'sidewalks', 'first', 'cars', 'pushed', 'people', 'out', 'of', 'roads', 'now', 'robots', 'are', 'trying', 'to', 'takeover', 'sidewalks']",22,0
Can you imagine delivering gourmet food in the middle of a virus lock down?,"['can', 'you', 'imagine', 'delivering', 'gourmet', 'food', 'in', 'the', 'middle', 'of', 'a', 'virus', 'lock', 'down']",14,2
"Spot on  .   I live in MK & regularly see them while I am out running  .   I have never had local shopping or a take-away delivered, which is the function these robots perform  .  ","['spot', 'on', 'i', 'live', 'in', 'mk', 'regularly', 'see', 'them', 'while', 'i', 'am', 'out', 'running', 'i', 'have', 'never', 'had', 'local', 'shopping', 'or', 'a', 'take-away', 'delivered', 'which', 'is', 'the', 'function', 'these', 'robots', 'perform']",31,2
Can they send beer in those to people who are so blitz they can hardly stand asking for a friend,"['can', 'they', 'send', 'beer', 'in', 'those', 'to', 'people', 'who', 'are', 'so', 'blitz', 'they', 'can', 'hardly', 'stand', 'asking', 'for', 'a', 'friend']",20,2
These delivery robots always surprise and put a smile to my face whenever I am walking round MK recording our videos too! :),"['these', 'delivery', 'robots', 'always', 'surprise', 'and', 'put', 'a', 'smile', 'to', 'my', 'face', 'whenever', 'i', 'am', 'walking', 'round', 'mk', 'recording', 'our', 'videos', 'too']",22,1
"it's hard not to be cynical about the practicality of this sort of thing  .   Without a major shift in people's attitudes in society  .   If you really think these things will be able to trundle through graffiti-strewn inner cities delivering people's pizzas at 1 am in the morning on a Saturday night untouched and left alone, then your belief in people nature is way better than mine  .  ","['it', 'is', 'hard', 'not', 'to', 'be', 'cynical', 'about', 'the', 'practicality', 'of', 'this', 'sort', 'of', 'thing', 'without', 'a', 'major', 'shift', 'in', 'people', ""'s"", 'attitudes', 'in', 'society', 'if', 'you', 'really', 'think', 'these', 'things', 'will', 'be', 'able', 'to', 'trundle', 'through', 'graffiti-strewn', 'inner', 'cities', 'delivering', 'people', ""'s"", 'pizzas', 'at', 'am', 'in', 'the', 'morning', 'on', 'a', 'saturday', 'night', 'untouched', 'and', 'left', 'alone', 'then', 'your', 'belief', 'in', 'human', 'nature', 'is', 'way', 'better', 'than', 'mine']",68,0
"0:16 So, no one is gonna talk about how the robot just took a look at the statue?","['so', 'no', 'one', 'is', 'going', 'to', 'talk', 'about', 'how', 'the', 'robot', 'just', 'took', 'a', 'look', 'at', 'the', 'statue']",18,2
I love it but who the hell just buys 2 bags of groceries? I need one that will take 10  .  ,"['i', 'love', 'it', 'but', 'who', 'the', 'hell', 'just', 'buys', 'bags', 'of', 'groceries', 'i', 'need', 'one', 'that', 'will', 'take']",18,0
So many crimes are unsolvable because of disturbance to the crime scene  .   Whichever police are in charge of maintaining the crime scene should be fired for gross incompetence  .  ,"['so', 'many', 'crimes', 'are', 'unsolvable', 'because', 'of', 'disturbance', 'to', 'the', 'crime', 'scene', 'whichever', 'police', 'are', 'in', 'charge', 'of', 'maintaining', 'the', 'crime', 'scene', 'should', 'be', 'fired', 'for', 'gross', 'incompetence']",28,0
Ok sure  .   Lemme see this on 98th Ave in Oakland some Crack head is gonna kidnap it and make its sex toy or adopt it as pet to talk to  .  ,"['ok', 'sure', 'let', 'me', 'see', 'this', 'on', 'ave', 'in', 'oakland', 'some', 'crack', 'head', 'is', 'going', 'to', 'kidnap', 'it', 'and', 'make', 'its', 'sex', 'toy', 'or', 'adopt', 'it', 'as', 'pet', 'to', 'talk', 'to']",31,0
Aren't they worried about someone stealing it?,"['are', 'not', 'they', 'worried', 'about', 'someone', 'stealing', 'it']",8,0
"An important thing to note is that these robots and the technology required to make them end up doing a few things for people jobs  .   1  .   Baseline, it creates jobs  .   These are new industries and emergent technologies that require humans to engineer, manufacture, and program these robots to do this kind of work  .   2  .   As the creator stated, these robots are meant to optimize the people Dashers' job by letting them take the deliveries that pay them more as a result  .   Dashers often don't want to take the short 2-3 minute jobs because the pay is low, and the travel required on both ends to and from the delivery is actually costing them more than if they took a longer delivery  .   Also if you really want to use the robot jobs vs humans analogy, then you should be similarly upset at places like car manufacturing plants, where robots have taken people ""jobs"" for decades now (but that industry has not suffered as a result, nor have the types of jobs that only humans can do have changed and evolved over time)  .   jimmy","['an', 'important', 'thing', 'to', 'note', 'is', 'that', 'these', 'robots', 'and', 'the', 'technology', 'required', 'to', 'make', 'them', 'end', 'up', 'doing', 'a', 'few', 'things', 'for', 'human', 'jobs', 'baseline', 'it', 'creates', 'jobs', 'these', 'are', 'new', 'industries', 'and', 'emergent', 'technologies', 'that', 'require', 'humans', 'to', 'engineer', 'manufacture', 'and', 'program', 'these', 'robots', 'to', 'do', 'this', 'kind', 'of', 'work', 'as', 'the', 'creator', 'stated', 'these', 'robots', 'are', 'meant', 'to', 'optimize', 'the', 'human', 'dashers', 'job', 'by', 'letting', 'them', 'take', 'the', 'deliveries', 'that', 'pay', 'them', 'more', 'as', 'a', 'result', 'dashers', 'often', 'do', 'not', 'want', 'to', 'take', 'the', 'short', 'minute', 'jobs', 'because', 'the', 'pay', 'is', 'low', 'and', 'the', 'travel', 'required', 'on', 'both', 'ends', 'to', 'and', 'from', 'the', 'delivery', 'is', 'actually', 'costing', 'them', 'more', 'than', 'if', 'they', 'took', 'a', 'longer', 'delivery', 'also', 'if', 'you', 'really', 'want', 'to', 'use', 'the', 'robot', 'jobs', 'vs', 'humans', 'analogy', 'then', 'you', 'should', 'be', 'similarly', 'upset', 'at', 'places', 'like', 'car', 'manufacturing', 'plants', 'where', 'robots', 'have', 'taken', 'human', 'jobs', 'for', 'decades', 'now', 'but', 'that', 'industry', 'has', 'not', 'suffered', 'as', 'a', 'result', 'nor', 'have', 'the', 'types', 'of', 'jobs', 'that', 'only', 'humans', 'can', 'do', 'have', 'changed', 'and', 'evolved', 'over', 'time', 'jimmy']",180,2
Robot: Delivering food Random person: Tries too steal it Robot: OH SNAP! LET ME CALL THE ROBO'S,"['robot', 'delivering', 'food', 'random', 'person', 'tries', 'too', 'steal', 'it', 'robot', 'oh', 'snap', 'let', 'me', 'call', 'the', 'robo', ""'s""]",18,2
Can't have that in the hood then homeless people will jack it  .  ,"['can', 'not', 'have', 'that', 'in', 'the', 'hood', 'then', 'homeless', 'people', 'will', 'jack', 'it']",13,0
Thomas tank engine bring you your parcel ( stupidity at its best ),"['thomas', 'tank', 'engine', 'bring', 'you', 'your', 'parcel', 'stupidity', 'at', 'its', 'best']",11,0
This is 1 of the silliest things that I've ever heard  .   Americans stop being so lazy and go out and purchase your food  .  ,"['this', 'is', 'of', 'the', 'silliest', 'things', 'that', 'i', ""'ve"", 'ever', 'heard', 'americans', 'stop', 'being', 'so', 'lazy', 'and', 'go', 'out', 'and', 'purchase', 'your', 'food']",23,0
This Bitch out here stealing jobs while Other people hustling to bring food to their families,"['this', 'bitch', 'out', 'here', 'stealing', 'jobs', 'while', 'other', 'people', 'hustling', 'to', 'bring', 'food', 'to', 'their', 'families']",16,0
And the robot just keeps going like if nothing ever happened,"['and', 'the', 'robot', 'just', 'keeps', 'going', 'like', 'if', 'nothing', 'ever', 'happened']",11,2
Waiting to see videos of the Daytona Beach homeless riding them around town  .  ,"['waiting', 'to', 'see', 'videos', 'of', 'the', 'daytona', 'beach', 'homeless', 'riding', 'them', 'around', 'town']",13,0
It is beautiful  .  ,"['it', 'is', 'beautiful']",3,1
and there's gonna be those stupid ass people that sit on top of it thinking it's for transportation,"['and', 'there', ""'s"", 'going', 'to', 'be', 'those', 'stupid', 'ass', 'people', 'that', 'sit', 'on', 'top', 'of', 'it', 'thinking', 'it', 'is', 'for', 'transportation']",21,0
"Developed in Estonia, nearly same climate  .  ","['developed', 'in', 'estonia', 'nearly', 'same', 'climate']",6,2
Where are those drones Amazon promised us?,"['where', 'are', 'those', 'drones', 'amazon', 'promised', 'us']",7,2
what is the name of the robot?,"['what', 'is', 'the', 'name', 'of', 'the', 'robot']",7,2
15 min? If is traffic never cross the road   .   Is take to long time to delivery Is ok if you don't hurry up  .  ,"['min', 'if', 'is', 'traffic', 'never', 'cross', 'the', 'road', 'is', 'take', 'to', 'long', 'time', 'to', 'delivery', 'is', 'ok', 'if', 'you', 'do', 'not', 'hurry', 'up']",23,0
Bahahaha poor grocery Wall-E! He was such a nice robot :’(,"['bahahaha', 'poor', 'grocery', 'wall-e', 'he', 'was', 'such', 'a', 'nice', 'robot']",10,1
So Friendly and funny,"['so', 'friendly', 'and', 'funny']",4,1
that's so mean burh let it do it's work,"['that', ""'s"", 'so', 'mean', 'burh', 'let', 'it', 'do', 'it', 'is', 'work']",11,1
Did anybody else find it cute when it stopped and looked up at the statue?,"['did', 'anybody', 'else', 'find', 'it', 'cute', 'when', 'it', 'stopped', 'and', 'looked', 'up', 'at', 'the', 'statue']",15,1
the robots don't get sick or call in sick & check their watches at 4:55pm like you  .  ,"['the', 'robots', 'do', 'not', 'get', 'sick', 'or', 'call', 'in', 'sick', 'check', 'their', 'watches', 'at', 'like', 'you']",16,1
yes i cried! that was adorable!,"['yes', 'i', 'cried', 'that', 'was', 'adorable']",6,1
"Just saw 2 of them today, in plano Texas","['just', 'saw', 'of', 'them', 'today', 'in', 'plano', 'texas']",8,2
Good by to another job humans get paid for no more delivery guys we will regret all this trust me,"['good', 'by', 'to', 'another', 'job', 'humans', 'get', 'paid', 'for', 'no', 'more', 'delivery', 'guys', 'we', 'will', 'regret', 'all', 'this', 'trust', 'me']",20,0
Idk why you feel sorry for them  .   Lol  .   They are machines not living things  .  ,"['idk', 'why', 'you', 'feel', 'sorry', 'for', 'them', 'lol', 'they', 'are', 'machines', 'not', 'living', 'things']",14,2
Wow that is so cool  .   Amazing technology we are getting  .   Looks like Irvine is the place to be for these new features like the Amazon store   .   Can't wait for the hoverboards to be built   .  ,"['wow', 'that', 'is', 'so', 'cool', 'amazing', 'technology', 'we', 'are', 'getting', 'looks', 'like', 'irvine', 'is', 'the', 'place', 'to', 'be', 'for', 'these', 'new', 'features', 'like', 'the', 'amazon', 'store', 'can', 'not', 'wait', 'for', 'the', 'hoverboards', 'to', 'be', 'built']",35,1
"lol I saw you filming this in front of the WPU!! These robots are kind of dumb, but damn are they cute!","['lol', 'i', 'saw', 'you', 'filming', 'this', 'in', 'front', 'of', 'the', 'wpu', 'these', 'robots', 'are', 'kind', 'of', 'dumb', 'but', 'damn', 'are', 'they', 'cute']",22,1
Everybody gangster till the robot blows up,"['everybody', 'gangster', 'till', 'the', 'robot', 'blows', 'up']",7,0
"I worked as a Postmates Live Order Support Representative and 5 months ago I received a call  .   It's a complaint call from someone saying that she fear for her life when she encountered one of these thing on the street of California, she said these little fucker chase her ass off  .  ","['i', 'worked', 'as', 'a', 'postmates', 'live', 'order', 'support', 'representative', 'and', 'months', 'ago', 'i', 'received', 'a', 'call', 'it', 'is', 'a', 'complaint', 'call', 'from', 'someone', 'saying', 'that', 'she', 'fear', 'for', 'her', 'life', 'when', 'she', 'encountered', 'one', 'of', 'these', 'thing', 'on', 'the', 'street', 'of', 'california', 'she', 'said', 'these', 'little', 'fucker', 'chase', 'her', 'ass', 'off']",51,0
How long before someone steals or breaks that thing?,"['how', 'long', 'before', 'someone', 'steals', 'or', 'breaks', 'that', 'thing']",9,0
"your place has to be safe that how Milton Keynes got it, Otherwise the robots would be stolen","['your', 'place', 'has', 'to', 'be', 'safe', 'that', 'how', 'milton', 'keynes', 'got', 'it']",12,0
Honestly these robots are pretty cool  .  ,"['honestly', 'these', 'robots', 'are', 'pretty', 'cool']",6,1
"Bruh this is fake, someone is probably gonna steal it by the time it gets to your house and won’t it run out of charge by the time it comes to your home","['bruh', 'this', 'is', 'fake', 'someone', 'is', 'probably', 'going', 'to', 'steal', 'it', 'by', 'the', 'time', 'it', 'gets', 'to', 'your', 'house', 'and', 'won', 't', 'it', 'run', 'out', 'of', 'charge', 'by', 'the', 'time', 'it', 'comes', 'to', 'your', 'home']",35,0
High tech  .   thanks for sharing,"['high', 'tech', 'thanks', 'for', 'sharing']",5,1
