comment_id,comment_author,comment_time,parent_id,is_reply,video_id,pure_text,label,index,cleaned_text,text_len
UgwAiSIRNYAsB4nH81N4AaABAg,Travis Something,2018-02-21T09:27:16Z,UgwAiSIRNYAsB4nH81N4AaABAg,False,6f1T3rulkUU,Totally gonna snatch deliveries as they go down the sidewalk.,0,71,"['totally', 'gon', 'na', 'snatch', 'deliveries', 'as', 'they', 'go', 'down', 'the', 'sidewalk', '.']",12
UgxwrpOe9SufrAYqGEl4AaABAg,JP Sureau,2018-02-20T19:16:12Z,UgxwrpOe9SufrAYqGEl4AaABAg,False,6f1T3rulkUU,"Yeah, take even more jobs from humans. Brilliant!",0,80,"['yeah', ',', 'take', 'even', 'more', 'jobs', 'from', 'humans', '.', 'brilliant', '!']",11
Ugw20nMm4_TrA4-yz6V4AaABAg,TheWacoKid1963,2023-03-22T16:05:26Z,Ugw20nMm4_TrA4-yz6V4AaABAg,False,6MUpHBUzvJ4,"They are crap, here's one that spent 5 minutes at a quiet T junction, then spent another 5 minutes at a Zebra crossing, that was 10 minutes to go 20 yards ffs watch?v=ZsmtTvYTQaA",0,84,"['they', 'are', 'crap', ',', 'here', ""'s"", 'one', 'that', 'spent', 'minutes', 'at', 'a', 'quiet', 't', 'junction', ',', 'then', 'spent', 'another', 'minutes', 'at', 'a', 'zebra', 'crossing', ',', 'that', 'was', 'minutes', 'to', 'go', 'yards', 'ffs', 'watch', '?', 'v=zsmttvytqaa']",35
UgypUuwa4EDqbWaegBJ4AaABAg,Catherine Brooke Barnes,2023-01-05T21:36:06Z,UgypUuwa4EDqbWaegBJ4AaABAg,False,6MUpHBUzvJ4,"Cool until they are reprogrammed to shoot to kill, which no doubt is their next step in the global depopulation agenda. The insane globalists always use university towns for their sick experiments and research.",0,88,"['cool', 'until', 'they', 'are', 'reprogrammed', 'to', 'shoot', 'to', 'kill', ',', 'which', 'no', 'doubt', 'is', 'their', 'next', 'step', 'in', 'the', 'global', 'depopulation', 'agenda', '.', 'the', 'insane', 'globalists', 'always', 'use', 'university', 'towns', 'for', 'their', 'sick', 'experiments', 'and', 'research', '.']",37
Ugyef9CUxiHM-LFFKvJ4AaABAg.9jcHrQG79Ha9ntvGfe14co,"Harry ""Nic"" Nicholas",2023-03-30T21:34:13Z,Ugyef9CUxiHM-LFFKvJ4AaABAg,True,6MUpHBUzvJ4,"seriously though, if you can find it' nuts, you can kick it in the nuts.",0,90,"['seriously', 'though', ',', 'if', 'you', 'can', 'find', 'it', 'nuts', ',', 'you', 'can', 'kick', 'it', 'in', 'the', 'nuts', '.']",18
UgzQ3MUTweEKWGYXuvx4AaABAg,Kirsty Peet,2022-12-07T02:24:35Z,UgzQ3MUTweEKWGYXuvx4AaABAg,False,6MUpHBUzvJ4,No brake lights or indicator and no stop warning and also can block pavements when two come together I believe that need more work and not good when mobility scooter are behind and they stop too fast with no warning when it is moving forward and nothing blocking the way don't go as it stops like it's been blocked when not,0,92,"['no', 'brake', 'lights', 'or', 'indicator', 'and', 'no', 'stop', 'warning', 'and', 'also', 'can', 'block', 'pavements', 'when', 'two', 'come', 'together', 'i', 'believe', 'that', 'need', 'more', 'work', 'and', 'not', 'good', 'when', 'mobility', 'scooter', 'are', 'behind', 'and', 'they', 'stop', 'too', 'fast', 'with', 'no', 'warning', 'when', 'it', 'is', 'moving', 'forward', 'and', 'nothing', 'blocking', 'the', 'way', 'do', ""n't"", 'go', 'as', 'it', 'stops', 'like', 'it', ""'s"", 'been', 'blocked', 'when', 'not']",63
Ugzof0J_OewZ8NSHNml4AaABAg,Blue Domino,2022-12-22T12:44:44Z,Ugzof0J_OewZ8NSHNml4AaABAg,False,7nMoh372Hsk,this is why corporates want to replace human with robots,0,110,"['this', 'is', 'why', 'corporates', 'want', 'to', 'replace', 'human', 'with', 'robots']",10
UgxArWd-5X0NLDfyzn94AaABAg,LDN Rider,2022-12-13T23:40:56Z,UgxArWd-5X0NLDfyzn94AaABAg,False,7nMoh372Hsk,Good. Run the wee job stealing bastard over.,0,111,"['good', '.', 'run', 'the', 'wee', 'job', 'stealing', 'bastard', 'over', '.']",10
UgwTbqBejZCQAoOS_294AaABAg.9SLvzabKNn59Sg3KfiVs_H,Ixcutamp,2021-09-24T16:53:22Z,UgwTbqBejZCQAoOS_294AaABAg,True,7nMoh372Hsk,"But with way worse reaction time, and way dumber.",0,141,"['but', 'with', 'way', 'worse', 'reaction', 'time', ',', 'and', 'way', 'dumber', '.']",11
Ugy_ySWkyhlnhvHnrgp4AaABAg,Jim Langendorf,2021-09-13T11:02:45Z,Ugy_ySWkyhlnhvHnrgp4AaABAg,False,7W8ATP2qLEg,"Saw these in action yesterday and I got chills. The future is coming fast. Now get out of the way of the food bot! It needs a voice in a sharp New Yorker voice, ""Move it! Walkin' heah!""",0,155,"['saw', 'these', 'in', 'action', 'yesterday', 'and', 'i', 'got', 'chills', '.', 'the', 'future', 'is', 'coming', 'fast', '.', 'now', 'get', 'out', 'of', 'the', 'way', 'of', 'the', 'food', 'bot', '!', 'it', 'needs', 'a', 'voice', 'in', 'a', 'sharp', 'new', 'yorker', 'voice', ',', '``', 'move', 'it', '!', 'walkin', 'heah', '!', ""''""]",46
UgwdbldPsxKo4VYEFyh4AaABAg.9RRohALkFZR9WLhpAsA75x,Brandon Dillon,2021-12-24T19:58:13Z,UgwdbldPsxKo4VYEFyh4AaABAg,True,7W8ATP2qLEg,"They hit campus just as I left campus dining. From what I've heard from my old Co workers they were nonplussed about it. Bots getting stuck, drinks spilling, people screwing with it, etc",0,158,"['they', 'hit', 'campus', 'just', 'as', 'i', 'left', 'campus', 'dining', '.', 'from', 'what', 'i', ""'ve"", 'heard', 'from', 'my', 'old', 'co', 'workers', 'they', 'were', 'nonplussed', 'about', 'it', '.', 'bots', 'getting', 'stuck', ',', 'drinks', 'spilling', ',', 'people', 'screwing', 'with', 'it', ',', 'etc']",39
UgyzOg0ehLFfrnyygJd4AaABAg.9REIbsrxUv49SxH9yVAJc6,imspacedout,2021-10-01T09:21:20Z,UgyzOg0ehLFfrnyygJd4AaABAg,True,7W8ATP2qLEg,It is the American way to replace the worker then complain that there are no jobs.,0,160,"['it', 'is', 'the', 'american', 'way', 'to', 'replace', 'the', 'worker', 'then', 'complain', 'that', 'there', 'are', 'no', 'jobs', '.']",17
UgzC0M3I6Vkn6Anil_p4AaABAg,ROTA,2023-03-20T15:40:41Z,UgzC0M3I6Vkn6Anil_p4AaABAg,False,9F5cHKuV6GQ,They all come with this bs excuse of “pollution” solving problem when in fact is pure corporate greed to get human driver out of game get all the money,0,161,"['they', 'all', 'come', 'with', 'this', 'bs', 'excuse', 'of', '“', 'pollution', '”', 'solving', 'problem', 'when', 'in', 'fact', 'is', 'pure', 'corporate', 'greed', 'to', 'get', 'human', 'driver', 'out', 'of', 'game', 'get', 'all', 'the', 'money']",31
UgxoEB24KMtsHxmMWRl4AaABAg,west_ldn _Xxx,2022-06-20T16:42:58Z,UgxoEB24KMtsHxmMWRl4AaABAg,False,9F5cHKuV6GQ,"Fine, fine, but 100 robots on the streets equals 100 people struggling to find work.",0,162,"['fine', ',', 'fine', ',', 'but', 'robots', 'on', 'the', 'streets', 'equals', 'people', 'struggling', 'to', 'find', 'work', '.']",16
Ugzo5WnLHBAFY5ihpEF4AaABAg,polickm,2022-06-04T16:18:40Z,Ugzo5WnLHBAFY5ihpEF4AaABAg,False,9F5cHKuV6GQ,"I don’t see it like very functional…I mean, it is very slow and it is terrestrial…why don’t try with a drone delivery or something really innovative?",0,165,"['i', 'don', '’', 't', 'see', 'it', 'like', 'very', 'functional…i', 'mean', ',', 'it', 'is', 'very', 'slow', 'and', 'it', 'is', 'terrestrial…why', 'don', '’', 't', 'try', 'with', 'a', 'drone', 'delivery', 'or', 'something', 'really', 'innovative', '?']",32
Ugw6A7jPaxTtrTHgDid4AaABAg,19 84,2022-06-02T23:24:36Z,Ugw6A7jPaxTtrTHgDid4AaABAg,False,9F5cHKuV6GQ,Make sure you don't have those robots delivering food in Chicago. You'll never see them again...,0,167,"['make', 'sure', 'you', 'do', ""n't"", 'have', 'those', 'robots', 'delivering', 'food', 'in', 'chicago', '.', 'you', ""'ll"", 'never', 'see', 'them', 'again', '...']",20
UgzxfGuF6J-uKWmHYyN4AaABAg,cici,2021-06-25T13:13:01Z,UgzxfGuF6J-uKWmHYyN4AaABAg,False,9F5cHKuV6GQ,This is completely ridiculous.,0,175,"['this', 'is', 'completely', 'ridiculous', '.']",5
UgzwvCS6FI4R5mL5hOR4AaABAg,David Heller,2018-06-18T07:28:42Z,UgzwvCS6FI4R5mL5hOR4AaABAg,False,bDd6c6by4DM,Cool as shit!,0,189,"['cool', 'as', 'shit', '!']",4
UgyN3ZLUC-6Fi2FF6iN4AaABAg,lost again,2022-10-05T14:22:57Z,UgyN3ZLUC-6Fi2FF6iN4AaABAg,False,De4H4KmYd1I,Seems to me any evidence collected here has been corrupted.,0,195,"['seems', 'to', 'me', 'any', 'evidence', 'collected', 'here', 'has', 'been', 'corrupted', '.']",11
UgyQYtz_eDp3GAK5DSh4AaABAg,Last Hearth,2022-09-22T10:21:20Z,UgyQYtz_eDp3GAK5DSh4AaABAg,False,De4H4KmYd1I,Talk about an easy target for thieves in crime laden LA,0,198,"['talk', 'about', 'an', 'easy', 'target', 'for', 'thieves', 'in', 'crime', 'laden', 'la']",11
Ugxmwot92-DmcqBMWXp4AaABAg,Ryan StonedOnCanadianGaming,2022-09-20T21:02:27Z,Ugxmwot92-DmcqBMWXp4AaABAg,False,De4H4KmYd1I,"""What if there's a bomb?"" Americans these days...",0,199,"['``', 'what', 'if', 'there', ""'s"", 'a', 'bomb', '?', ""''"", 'americans', 'these', 'days', '...']",13
Ugy0H6MJk7lmBsQs_GZ4AaABAg,celestrio,2022-09-18T14:33:20Z,Ugy0H6MJk7lmBsQs_GZ4AaABAg,False,De4H4KmYd1I,"The news reporters said what if there's a bomb in that robot, yet it's the same crew who assisted the robot to go through",0,204,"['the', 'news', 'reporters', 'said', 'what', 'if', 'there', ""'s"", 'a', 'bomb', 'in', 'that', 'robot', ',', 'yet', 'it', ""'s"", 'the', 'same', 'crew', 'who', 'assisted', 'the', 'robot', 'to', 'go', 'through']",27
Ugy0H6MJk7lmBsQs_GZ4AaABAg.9g7CgD6mrEi9gD37O6hASB,Ryan StonedOnCanadianGaming,2022-09-20T21:05:15Z,Ugy0H6MJk7lmBsQs_GZ4AaABAg,True,De4H4KmYd1I,"""That's gotta be the easiest way to like bomb people."" Officers, I found your future suspect. Your welcome. Americans",0,205,"['``', 'that', ""'s"", 'got', 'ta', 'be', 'the', 'easiest', 'way', 'to', 'like', 'bomb', 'people', '.', ""''"", 'officers', ',', 'i', 'found', 'your', 'future', 'suspect', '.', 'your', 'welcome', '.', 'americans']",27
Ugz6DnN_POVmfAb20ld4AaABAg,Mikey's Iron Rage!,2022-09-18T11:57:23Z,Ugz6DnN_POVmfAb20ld4AaABAg,False,De4H4KmYd1I,What if there was a bomb in there,0,206,"['what', 'if', 'there', 'was', 'a', 'bomb', 'in', 'there']",8
UgzM-xvYNaA3IVNPdgB4AaABAg,mrdan2898,2022-09-17T22:55:37Z,UgzM-xvYNaA3IVNPdgB4AaABAg,False,De4H4KmYd1I,"As someone stated in the video ""What if there was a bomb inside"" this innocent food robot driving through a crowd of police!",0,208,"['as', 'someone', 'stated', 'in', 'the', 'video', '``', 'what', 'if', 'there', 'was', 'a', 'bomb', 'inside', ""''"", 'this', 'innocent', 'food', 'robot', 'driving', 'through', 'a', 'crowd', 'of', 'police', '!']",26
UgwjdI4kwDxpEfRbiqp4AaABAg,Drew Tremble,2022-09-16T19:10:29Z,UgwjdI4kwDxpEfRbiqp4AaABAg,False,De4H4KmYd1I,Somebody is getting a cold pizza,0,209,"['somebody', 'is', 'getting', 'a', 'cold', 'pizza']",6
Ugxy4i3FXhdhPBR39-F4AaABAg.9g2YS32GSZH9g5XfMH0Fwd,mrdan2898,2022-09-17T22:58:15Z,Ugxy4i3FXhdhPBR39-F4AaABAg,True,De4H4KmYd1I,Somebody is getting a cold pizza,0,210,"['somebody', 'is', 'getting', 'a', 'cold', 'pizza']",6
UgxpF1AI97wXK_xFiEx4AaABAg.9g-nsQ250sh9g5Xd2nmyUq,mrdan2898,2022-09-17T22:57:56Z,UgxpF1AI97wXK_xFiEx4AaABAg,True,De4H4KmYd1I,"Not sure if they could, but there should be a way for a person to communicate with the robot's human dispatch, controller. There will be needs to change driving routes etc. So yeah, even needs for Police to inspect the contents. I can totally see crime networks using these bots to deliver their ""goods"".",0,215,"['not', 'sure', 'if', 'they', 'could', ',', 'but', 'there', 'should', 'be', 'a', 'way', 'for', 'a', 'person', 'to', 'communicate', 'with', 'the', 'robot', ""'s"", 'human', 'dispatch', ',', 'controller', '.', 'there', 'will', 'be', 'needs', 'to', 'change', 'driving', 'routes', 'etc', '.', 'so', 'yeah', ',', 'even', 'needs', 'for', 'police', 'to', 'inspect', 'the', 'contents', '.', 'i', 'can', 'totally', 'see', 'crime', 'networks', 'using', 'these', 'bots', 'to', 'deliver', 'their', '``', 'goods', ""''"", '.']",64
UgzZTUKGEDYoh4oltZh4AaABAg,Dingonun Ziki,2023-03-28T21:42:03Z,UgzZTUKGEDYoh4oltZh4AaABAg,False,e0cqxvju-Lw,Very happy should have been destroyed completely,0,231,"['very', 'happy', 'should', 'have', 'been', 'destroyed', 'completely']",7
Ugy_wrfjU2q-RxQIB6V4AaABAg.9fS6SvzrjW59hyyQu4hW5S,Joe Biden corrected you,2022-11-03T17:29:40Z,Ugy_wrfjU2q-RxQIB6V4AaABAg,True,e0cqxvju-Lw,"I still don't trust it. One day when that thing is attacking you after a short circuit from water you will understand he just scans the neighborhood planning, plotting",0,240,"['i', 'still', 'do', ""n't"", 'trust', 'it', '.', 'one', 'day', 'when', 'that', 'thing', 'is', 'attacking', 'you', 'after', 'a', 'short', 'circuit', 'from', 'water', 'you', 'will', 'understand', 'he', 'just', 'scans', 'the', 'neighborhood', 'planning', ',', 'plotting']",32
UgwFovC69DOQvpLV5p94AaABAg,Cary GRONEVELDT,2022-03-18T06:17:40Z,UgwFovC69DOQvpLV5p94AaABAg,False,eGNpqvHAydE,"*This this stupidest, most inefficient & job-stealing bullshit I've ever seen .... lol* *Reason **#14554334665** why California should be dumped into the sea.*",0,247,"['this', 'this', 'stupidest', ',', 'most', 'inefficient', 'job-stealing', 'bullshit', 'i', ""'ve"", 'ever', 'seen', '....', 'lol', 'reason', 'why', 'california', 'should', 'be', 'dumped', 'into', 'the', 'sea', '.']",24
Ugz3BFCA44voV_A0Rkd4AaABAg,ULTRA SONIC,2021-01-31T18:48:48Z,Ugz3BFCA44voV_A0Rkd4AaABAg,False,eGNpqvHAydE,in universities is fine but for barrios or cities will never work that robot will be vandalized,0,250,"['in', 'universities', 'is', 'fine', 'but', 'for', 'barrios', 'or', 'cities', 'will', 'never', 'work', 'that', 'robot', 'will', 'be', 'vandalized']",17
UgyscnhgrV9xcVghdOh4AaABAg.90QH7umt4fu92gSqwidQ76,fuzzywzhe,2019-12-18T15:00:07Z,UgyscnhgrV9xcVghdOh4AaABAg,True,eGNpqvHAydE,"No, this is simply a testament to how lazy people are and stupid. Nobody is going to buy this. I'm a Silicon Valley Electrical Engineer, and I've seen so many stupid ideas and they always get promoted in a PR video, like this is. People are pathetic. It's just yet another scam. Yeah, it's much better to get food from a self driving robot that tops out at 10 kilometers an hour, than it is to get from a person, that tops out at 100 kph. That'll keep it warm. You call this a convenience, and you tell me to get with the times. This is equivalent to getting food delivered by a horse and buggy. And this is in Berkeley, it won't take long before the homeless there figure out what it is, and simply destroy the damned thing and steal the food. And just for your information, I'm not a boomer. I'm generation X. I helped BUILD your times. See all the toys and gadgets you grew up with? I helped create them. Boomers didn't do anything except spread STD's during the 1960's. They were the most worthless generation this nation has ever seen.",0,255,"['no', ',', 'this', 'is', 'simply', 'a', 'testament', 'to', 'how', 'lazy', 'people', 'are', 'and', 'stupid', '.', 'nobody', 'is', 'going', 'to', 'buy', 'this', '.', 'i', ""'m"", 'a', 'silicon', 'valley', 'electrical', 'engineer', ',', 'and', 'i', ""'ve"", 'seen', 'so', 'many', 'stupid', 'ideas', 'and', 'they', 'always', 'get', 'promoted', 'in', 'a', 'pr', 'video', ',', 'like', 'this', 'is', '.', 'people', 'are', 'pathetic', '.', 'it', ""'s"", 'just', 'yet', 'another', 'scam', '.', 'yeah', ',', 'it', ""'s"", 'much', 'better', 'to', 'get', 'food', 'from', 'a', 'self', 'driving', 'robot', 'that', 'tops', 'out', 'at', 'kilometers', 'an', 'hour', ',', 'than', 'it', 'is', 'to', 'get', 'from', 'a', 'person', ',', 'that', 'tops', 'out', 'at', 'kph', '.', 'that', ""'ll"", 'keep', 'it', 'warm', '.', 'you', 'call', 'this', 'a', 'convenience', ',', 'and', 'you', 'tell', 'me', 'to', 'get', 'with', 'the', 'times', '.', 'this', 'is', 'equivalent', 'to', 'getting', 'food', 'delivered', 'by', 'a', 'horse', 'and', 'buggy', '.', 'and', 'this', 'is', 'in', 'berkeley', ',', 'it', 'wo', ""n't"", 'take', 'long', 'before', 'the', 'homeless', 'there', 'figure', 'out', 'what', 'it', 'is', ',', 'and', 'simply', 'destroy', 'the', 'damned', 'thing', 'and', 'steal', 'the', 'food', '.', 'and', 'just', 'for', 'your', 'information', ',', 'i', ""'m"", 'not', 'a', 'boomer', '.', 'i', ""'m"", 'generation', 'x.', 'i', 'helped', 'build', 'your', 'times', '.', 'see', 'all', 'the', 'toys', 'and', 'gadgets', 'you', 'grew', 'up', 'with', '?', 'i', 'helped', 'create', 'them', '.', 'boomers', 'did', ""n't"", 'do', 'anything', 'except', 'spread', 'std', ""'s"", 'during', 'the', ""'s"", '.', 'they', 'were', 'the', 'most', 'worthless', 'generation', 'this', 'nation', 'has', 'ever', 'seen', '.']",230
Ugy84DacUfhGSktY2N14AaABAg,Allat Goddess,2019-10-22T18:30:51Z,Ugy84DacUfhGSktY2N14AaABAg,False,eGNpqvHAydE,"How disgusting! The height of laziness! And meanwhile, everybody else is supposed to get out of the way for a machine. And btw, isn't this motorized machine supposed to get a license plate, for operating in public. ANd isn't it against the law to have machines, or have bicycles on the sidewalks?",0,260,"['how', 'disgusting', '!', 'the', 'height', 'of', 'laziness', '!', 'and', 'meanwhile', ',', 'everybody', 'else', 'is', 'supposed', 'to', 'get', 'out', 'of', 'the', 'way', 'for', 'a', 'machine', '.', 'and', 'btw', ',', 'is', ""n't"", 'this', 'motorized', 'machine', 'supposed', 'to', 'get', 'a', 'license', 'plate', ',', 'for', 'operating', 'in', 'public', '.', 'and', 'is', ""n't"", 'it', 'against', 'the', 'law', 'to', 'have', 'machines', ',', 'or', 'have', 'bicycles', 'on', 'the', 'sidewalks', '?']",63
Ugx_t7-D76KFlRv0NVd4AaABAg,Sawrub,2019-05-28T10:40:42Z,Ugx_t7-D76KFlRv0NVd4AaABAg,False,eGNpqvHAydE,so this thing records (and probably saves) real time video footage? im knocking this over if and when i see it......not a smart/practical delivery system imo,0,269,"['so', 'this', 'thing', 'records', 'and', 'probably', 'saves', 'real', 'time', 'video', 'footage', '?', 'im', 'knocking', 'this', 'over', 'if', 'and', 'when', 'i', 'see', 'it', '......', 'not', 'a', 'smart/practical', 'delivery', 'system', 'imo']",29
UgyuemLwLgZaNDNTFbp4AaABAg,butterstix 24,2019-04-28T19:04:11Z,UgyuemLwLgZaNDNTFbp4AaABAg,False,eGNpqvHAydE,I like how he just admitted he’ll eliminate employees once it’s feasible to do so.,0,271,"['i', 'like', 'how', 'he', 'just', 'admitted', 'he', '’', 'll', 'eliminate', 'employees', 'once', 'it', '’', 's', 'feasible', 'to', 'do', 'so', '.']",20
UgwlXUYyaSmXV-VlTdd4AaABAg,Former Everything,2018-12-19T22:34:19Z,UgwlXUYyaSmXV-VlTdd4AaABAg,False,eGNpqvHAydE,"There are homeless people who love to chase down and rip open robots filled with great-smelling coffees, philly cheese steaks and ruebens with fries, and then there are homeless people who will gladly step aside, understanding the cute little robots, as in this perky little ""newsbug"" (OMG - so cute!!!!!! Oversized Tears - OT - OMG OT SC!!!!!!!!) article, are a march towards that utopian future where everyone, rich or poor, short or tall, get cheesy poofs and candy canes delivered to them by robots. No socialists or Antifa betas have been hurt while I write this commentary, but these robots will take away the pizza delivery and coffee-making jobs they get after getting a Masters in Sociology or Social Justice. Who'd hire a person with those credentials? Where would they create value?",0,274,"['there', 'are', 'homeless', 'people', 'who', 'love', 'to', 'chase', 'down', 'and', 'rip', 'open', 'robots', 'filled', 'with', 'great-smelling', 'coffees', ',', 'philly', 'cheese', 'steaks', 'and', 'ruebens', 'with', 'fries', ',', 'and', 'then', 'there', 'are', 'homeless', 'people', 'who', 'will', 'gladly', 'step', 'aside', ',', 'understanding', 'the', 'cute', 'little', 'robots', ',', 'as', 'in', 'this', 'perky', 'little', '``', 'newsbug', ""''"", 'omg', 'so', 'cute', '!', '!', '!', '!', '!', '!', 'oversized', 'tears', 'ot', 'omg', 'ot', 'sc', '!', '!', '!', '!', '!', '!', '!', '!', 'article', ',', 'are', 'a', 'march', 'towards', 'that', 'utopian', 'future', 'where', 'everyone', ',', 'rich', 'or', 'poor', ',', 'short', 'or', 'tall', ',', 'get', 'cheesy', 'poofs', 'and', 'candy', 'canes', 'delivered', 'to', 'them', 'by', 'robots', '.', 'no', 'socialists', 'or', 'antifa', 'betas', 'have', 'been', 'hurt', 'while', 'i', 'write', 'this', 'commentary', ',', 'but', 'these', 'robots', 'will', 'take', 'away', 'the', 'pizza', 'delivery', 'and', 'coffee-making', 'jobs', 'they', 'get', 'after', 'getting', 'a', 'masters', 'in', 'sociology', 'or', 'social', 'justice', '.', 'who', ""'d"", 'hire', 'a', 'person', 'with', 'those', 'credentials', '?', 'where', 'would', 'they', 'create', 'value', '?']",160
UgzPIpBWrsIdmVpfZgR4AaABAg,Former Everything,2018-12-19T22:12:03Z,UgzPIpBWrsIdmVpfZgR4AaABAg,False,eGNpqvHAydE,"""free food! free food!"" I can predict the rate of mission failure at 100% once Antifa liberal-arts grad students and homeless people locate them.",0,275,"['``', 'free', 'food', '!', 'free', 'food', '!', ""''"", 'i', 'can', 'predict', 'the', 'rate', 'of', 'mission', 'failure', 'at', 'once', 'antifa', 'liberal-arts', 'grad', 'students', 'and', 'homeless', 'people', 'locate', 'them', '.']",28
UgzPIpBWrsIdmVpfZgR4AaABAg.8p2xw0R2w0G90PbkwP6YJ7,The KetchyOwl,2019-10-22T23:37:33Z,UgzPIpBWrsIdmVpfZgR4AaABAg,True,eGNpqvHAydE,It'd also be a 100% mission failure when the Alt-Right runs these robots over with their cars,0,277,"['it', ""'d"", 'also', 'be', 'a', 'mission', 'failure', 'when', 'the', 'alt-right', 'runs', 'these', 'robots', 'over', 'with', 'their', 'cars']",17
UgwS24LGvVR0dACDveR4AaABAg,8 8,2018-10-31T00:06:23Z,UgwS24LGvVR0dACDveR4AaABAg,False,eGNpqvHAydE,Seen them getting stuck in the middle of cross walks impeding traffic,0,281,"['seen', 'them', 'getting', 'stuck', 'in', 'the', 'middle', 'of', 'cross', 'walks', 'impeding', 'traffic']",12
Ugw0mAqInnppL0xmMyt4AaABAg,LowLightVideos,2018-05-25T20:25:49Z,Ugw0mAqInnppL0xmMyt4AaABAg,False,eGNpqvHAydE,Calling for a hack!,0,284,"['calling', 'for', 'a', 'hack', '!']",5
